season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2018,women,2018-05-23,Brazil W,Argentina W,3,0,1,https://www.flashscore.com/match/2HAw3q0p/#/match-summary,25,9,25,21,25,14,,,,
2018,women,2018-05-23,Japan W,Belgium W,3,0,1,https://www.flashscore.com/match/xhOnHxPP/#/match-summary,25,19,25,20,25,19,,,,
2018,women,2018-05-23,South Korea W,Russia W,3,0,1,https://www.flashscore.com/match/428R9fHa/#/match-summary,25,19,25,14,25,17,,,,
2018,women,2018-05-23,Poland W,Serbia W,1,3,0,https://www.flashscore.com/match/ALAIUegP/#/match-summary,25,20,25,27,24,26,15.0,25.0,,
2018,women,2018-05-23,Italy W,Germany W,3,0,1,https://www.flashscore.com/match/bP7V8EW5/#/match-summary,25,22,25,18,25,20,,,,
2018,women,2018-05-23,Netherlands W,USA W,0,3,0,https://www.flashscore.com/match/UqGECdXt/#/match-summary,19,25,21,25,23,25,,,,
2018,women,2018-05-22,Turkey W,Brazil W,1,3,0,https://www.flashscore.com/match/t89s23Fj/#/match-summary,17,25,19,25,25,23,21.0,25.0,,
2018,women,2018-05-22,China W,Poland W,2,3,0,https://www.flashscore.com/match/ns2pQF1t/#/match-summary,25,18,17,25,18,25,25.0,22.0,12.0,15.0
2018,women,2018-05-22,Argentina W,Dominican Republic W,0,3,0,https://www.flashscore.com/match/IPhQQnhi/#/match-summary,24,26,24,26,19,25,,,,
2018,women,2018-05-22,Japan W,USA W,0,3,0,https://www.flashscore.com/match/bBSdfFHC/#/match-summary,20,25,16,25,23,25,,,,
2018,women,2018-05-22,South Korea W,Germany W,3,1,1,https://www.flashscore.com/match/ja4NAz2g/#/match-summary,23,25,26,24,25,16,25.0,16.0,,
2018,women,2018-05-22,Thailand W,Serbia W,1,3,0,https://www.flashscore.com/match/U5ikPZGn/#/match-summary,18,25,23,25,25,19,19.0,25.0,,
2018,women,2018-05-22,Belgium W,Netherlands W,2,3,0,https://www.flashscore.com/match/4lThee26/#/match-summary,25,21,19,25,25,23,29.0,31.0,10.0,15.0
2018,women,2018-05-22,Italy W,Russia W,0,3,0,https://www.flashscore.com/match/8zFIBGnm/#/match-summary,24,26,12,25,23,25,,,,
2018,women,2018-05-17,USA W,Italy W,3,0,1,https://www.flashscore.com/match/xYe15uQD/#/match-summary,25,21,25,18,25,21,,,,
2018,women,2018-05-17,Turkey W,Poland W,3,0,1,https://www.flashscore.com/match/AR7JtdmD/#/match-summary,25,21,25,17,25,23,,,,
2019,women,2019-07-07,Brazil W,USA W,2,3,0,https://www.flashscore.com/match/2DCd8IT8/#/match-summary,25,20,25,22,15,25,21.0,25.0,13.0,15.0
2019,women,2019-07-07,Turkey W,China W,1,3,0,https://www.flashscore.com/match/dlRa7xqF/#/match-summary,23,25,15,25,25,20,21.0,25.0,,
2019,women,2019-07-06,USA W,China W,3,1,1,https://www.flashscore.com/match/2Rc3g5bj/#/match-summary,25,11,15,25,25,17,25.0,20.0,,
2019,women,2019-07-06,Turkey W,Brazil W,0,3,0,https://www.flashscore.com/match/KOcETruR/#/match-summary,23,25,15,25,10,25,,,,
2019,women,2019-07-05,China W,Italy W,3,1,1,https://www.flashscore.com/match/jmGnd2Jc/#/match-summary,25,17,25,22,22,25,25.0,22.0,,
2019,women,2019-07-05,USA W,Brazil W,3,1,1,https://www.flashscore.com/match/tx9ag03G/#/match-summary,25,18,25,19,20,25,25.0,21.0,,
2019,women,2019-07-04,Italy W,Turkey W,0,3,0,https://www.flashscore.com/match/xpCrcr4i/#/match-summary,21,25,15,25,21,25,,,,
2019,women,2019-07-04,Brazil W,Poland W,3,2,1,https://www.flashscore.com/match/C24eftlA/#/match-summary,22,25,25,21,22,25,25.0,19.0,15.0,10.0
2019,women,2019-07-03,China W,Turkey W,1,3,0,https://www.flashscore.com/match/OtO0YbRj/#/match-summary,22,25,19,25,25,22,22.0,25.0,,
2019,women,2019-07-03,USA W,Poland W,3,1,1,https://www.flashscore.com/match/YB5ieMY3/#/match-summary,21,25,25,16,25,15,26.0,24.0,,
2019,women,2019-06-20,Turkey W,Brazil W,3,2,1,https://www.flashscore.com/match/UwRc1kzo/#/match-summary,25,23,24,26,25,20,23.0,25.0,16.0,14.0
