season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2019,women,2019-06-19,Italy,Turkey,3,2,1,25,19,17,25,23,25,25.0,15.0,16.0,14.0,https://www.flashscore.com/match/U9a2CFrn/#/match-summary
2019,women,2019-06-19,Russia,Thailand,1,3,0,25,19,13,25,17,25,22.0,25.0,,,https://www.flashscore.com/match/G6ebDeTu/#/match-summary
2019,women,2019-06-19,Belgium,Brazil,0,3,0,23,25,15,25,18,25,,,,,https://www.flashscore.com/match/voKhhCcU/#/match-summary
2019,women,2019-06-19,China,Bulgaria,3,0,1,25,18,25,19,25,16,,,,,https://www.flashscore.com/match/0fLlghrO/#/match-summary
2019,women,2019-06-19,Netherlands,USA,2,3,0,21,25,25,23,25,22,26.0,28.0,9.0,15.0,https://www.flashscore.com/match/rJQqfYSH/#/match-summary
2019,women,2019-06-19,Serbia,Germany,1,3,0,14,25,20,25,25,23,17.0,25.0,,,https://www.flashscore.com/match/A5Sydfb5/#/match-summary
2019,women,2019-06-19,South Korea,Japan,3,0,1,25,18,25,18,25,23,,,,,https://www.flashscore.com/match/4SRueEDB/#/match-summary
2019,women,2019-06-19,Poland,Dominican Republic,3,2,1,25,18,25,20,23,25,22.0,25.0,17.0,15.0,https://www.flashscore.com/match/CK9Ydzqa/#/match-summary
2019,women,2019-06-18,Turkey,Belgium,1,3,0,27,25,24,26,21,25,23.0,25.0,,,https://www.flashscore.com/match/UeKTcGTh/#/match-summary
2019,women,2019-06-18,Russia,USA,0,3,0,23,25,17,25,18,25,,,,,https://www.flashscore.com/match/j5LPbdEn/#/match-summary
2019,women,2019-06-18,Brazil,Italy,3,0,1,25,21,25,20,25,23,,,,,https://www.flashscore.com/match/MVGLaxat/#/match-summary
2019,women,2019-06-18,China,Germany,3,0,1,25,19,25,16,25,15,,,,,https://www.flashscore.com/match/KMUg4IjP/#/match-summary
2019,women,2019-06-18,Netherlands,Thailand,3,0,1,25,18,25,20,25,16,,,,,https://www.flashscore.com/match/IHjBuZDO/#/match-summary
2019,women,2019-06-18,Bulgaria,Serbia,3,1,1,21,25,25,21,25,17,25.0,23.0,,,https://www.flashscore.com/match/Aim3seqC/#/match-summary
2019,women,2019-06-18,South Korea,Dominican Republic,1,3,0,19,25,25,20,24,26,28.0,30.0,,,https://www.flashscore.com/match/4En7tFbI/#/match-summary
2019,women,2019-06-18,Japan,Poland,1,3,0,23,25,23,25,25,19,22.0,25.0,,,https://www.flashscore.com/match/W0laryU5/#/match-summary
2019,women,2019-06-13,Germany,Netherlands,2,3,0,25,21,23,25,25,20,13.0,25.0,14.0,16.0,https://www.flashscore.com/match/jkX1qHEa/#/match-summary
2019,women,2019-06-13,Italy,Russia,3,1,1,22,25,25,21,25,15,25.0,21.0,,,https://www.flashscore.com/match/CbYcpcag/#/match-summary
2019,women,2019-06-13,Belgium,Dominican Republic,2,3,0,25,21,22,25,25,21,14.0,25.0,11.0,15.0,https://www.flashscore.com/match/IyZgowpm/#/match-summary
2019,women,2019-06-13,South Korea,Bulgaria,1,3,0,25,20,23,25,19,25,24.0,26.0,,,https://www.flashscore.com/match/4YUknJUt/#/match-summary
2019,women,2019-06-13,China,USA,0,3,0,17,25,22,25,21,25,,,,,https://www.flashscore.com/match/bihNjaMP/#/match-summary
2019,women,2019-06-13,Japan,Thailand,3,0,1,25,22,25,22,25,14,,,,,https://www.flashscore.com/match/K0gJiu7J/#/match-summary
